name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories,City,State
Madras Chettinaad,4,239,34.05762659,-84.2354976,30022,1442014243,"[Category(name=u'Restaurant Indien', alias=u'indpak')]",Alpharetta,GA
3 Brothers BBQ,3.5,91,34.06531099,-84.21280012,30005,1460101792,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]",Alpharetta,GA
di Paolo,4,59,33.98688126,-84.27336884,30022,1442264200,"[Category(name=u'Restaurant Italien', alias=u'italian')]",Alpharetta,GA
Sushi Nami,4,200,34.08898,-84.27181,30004,1442264164,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Village Tavern,3.5,184,34.06194,-84.28754,30009,1460307899,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Bar', alias=u'bars'), Category(name=u'Burger', alias=u'burgers')]",Alpharetta,GA
Lottafrutta,4.5,20,34.0709041,-84.2771294,30009,,"[Category(name=u'Caf\xe9', alias=u'cafes'), Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars')]",Alpharetta,GA
SushiMing Japanese Kitchen,4.5,38,34.09009933,-84.1987915,30005,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Avocado Vegan Cafe and Juice Bar,4.5,68,34.05114761,-84.22509189,30022,,"[Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars'), Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan'), Category(name=u'Restaurant V\xe9g\xe9tarien', alias=u'vegetarian')]",Alpharetta,GA
Persis Biryani Indian Grill,4,32,34.0908699,-84.28913879,30009,,"[Category(name=u'Restaurant Indien', alias=u'indpak')]",Alpharetta,GA
5 Seasons North,4,120,34.06385,-84.252747,30005,1442020404,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Brasseur', alias=u'breweries')]",Alpharetta,GA
Crabapple Tavern,4,60,34.08236694,-84.35810089,30004,1450871204,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Burger', alias=u'burgers')]",Alpharetta,GA
Nahm Thai Cuisine,4,204,34.08869796,-84.27253023,30004,1442003848,"[Category(name=u'Tha\xef', alias=u'thai')]",Alpharetta,GA
Alpine Bakery and Trattoria,4,230,34.0825882,-84.35569,30004,,"[Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Dessert', alias=u'desserts')]",Alpharetta,GA
Cabernet,4,162,34.08696747,-84.26428986,30004,1442264170,"[Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Alpharetta,GA
Caribbean Fiesta,4,138,34.06706933,-84.26107369,30022,,"[Category(name=u'Restaurant Carib\xe9en', alias=u'caribbean')]",Alpharetta,GA
Pure Taqueria,3.5,259,34.07265,-84.29809,30009,1441988077,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Santino's,3.5,45,34.02059555,-84.27255249,30022,,"[Category(name=u'Pizza', alias=u'pizza')]",Alpharetta,GA
Colletta,3.5,73,34.0706691,-84.278951,30009,1442230878,"[Category(name=u'Restaurant Italien', alias=u'italian')]",Alpharetta,GA
Made kitchen & Cocktails,3.5,72,34.07444763,-84.296875,30009,1442230177,"[Category(name=u'Restaurant Espagnol', alias=u'spanish'), Category(name=u'Bar \xe0 tapas', alias=u'tapas')]",Alpharetta,GA
Ipanema Brazilian Steakhouse,4,100,34.06064875,-84.24266316,30022,,"[Category(name=u'Restaurant Br\xe9silien', alias=u'brazilian'), Category(name=u'Buffet', alias=u'buffets')]",Alpharetta,GA
Seven Seas Mediterranean Cafe,4,71,34.06836443,-84.29926448,30009,,"[Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Sandwich', alias=u'sandwiches')]",Alpharetta,GA
The El Felix,3.5,211,34.0707424,-84.2769691,30009,1442229497,"[Category(name=u'Restaurant Tex-mex', alias=u'tex-mex')]",Alpharetta,GA
Sweet Tentations French Bakery,4,42,33.98535156,-84.27083588,30022,,"[Category(name=u'Caf\xe9', alias=u'cafes'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Restaurant Fran\xe7ais', alias=u'french')]",Alpharetta,GA
Branch and Barrel,4,26,34.0710189,-84.276591,30009,,"[Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
Sitar Indian Restaurant,4,51,33.9879533,-84.2703724,30022,1458028961,"[Category(name=u'Restaurant Indien', alias=u'indpak')]",Alpharetta,GA
Spice Brick Oven Kitchen,3.5,136,34.0490009,-84.287294,30022,,"[Category(name=u'Assiettes et planches', alias=u'tapasmallplates'), Category(name=u'Bar Lounge', alias=u'lounges')]",Alpharetta,GA
Oak Steakhouse,4,82,34.070676,-84.278957,30009,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Restaurant Grill', alias=u'steak')]",Alpharetta,GA
Mambo Jambo Cafe,4,96,34.08942457,-84.27167963,30004,1460076344,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Alpharetta,GA
Haiku Sushi & Steakhouse,3.5,124,34.0489769,-84.282547,30022,1460111916,"[Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Tuscany Cafe & Bistro,4,29,34.04897511,-84.27960321,30022,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Caf\xe9', alias=u'cafes')]",Alpharetta,GA
Tom + Chee - Alpharetta,3.5,64,34.05007935,-84.28437042,30022,,"[Category(name=u'Soupe', alias=u'soup'), Category(name=u'Sandwich', alias=u'sandwiches')]",Alpharetta,GA
BB's Bagels,4,226,34.1292182,-84.22849537,30004,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Bagel', alias=u'bagels'), Category(name=u'Sandwich', alias=u'sandwiches')]",Alpharetta,GA
Shiraz Cafe,4,47,34.0924492,-84.2073593,30005,,"[Category(name=u'Restaurant Perse/Iranien', alias=u'persian'), Category(name=u'Restaurant Italien', alias=u'italian')]",Alpharetta,GA
Eggs Up Grill,4,77,34.0789299,-84.35738373,30004,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Alpharetta,GA
Rio Balsas Taqueria,5,32,34.06845584,-84.29926008,30009,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Crabapple Tavern,4,60,34.08236694,-84.35810089,30004,1450871204,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Burger', alias=u'burgers')]",Alpharetta,GA
Milton's Cuisine & Cocktails,4,178,34.09071,-84.33908,30009,1460554837,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars')]",Alpharetta,GA
Alpine Bakery and Trattoria,4,230,34.0825882,-84.35569,30004,,"[Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Dessert', alias=u'desserts')]",Alpharetta,GA
House of Hummus Mediterranean Cafe,4.5,157,34.0496761,-84.2819902,30022,,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Restaurant Libanais', alias=u'lebanese')]",Alpharetta,GA
South Main Kitchen,4,139,34.0752949,-84.294886,30009,1442228183,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
Bite Bistro  Bar,4,196,34.06206894,-84.22556305,30005,1460090628,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar', alias=u'bars')]",Alpharetta,GA
The Bowl,4,55,34.0614357,-84.2429657,30005,1460231962,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
Anabelle's Table,4,33,34.08843693,-84.26548946,30004,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
El Trompo Mexican Taqueria,4.5,127,34.070262,-84.207107,30005,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Collet French Pastry & Cafe,4.5,215,34.070402,-84.293058,30009,,"[Category(name=u'Restaurant Fran\xe7ais', alias=u'french'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Caf\xe9', alias=u'cafes')]",Alpharetta,GA
Jerusalem Bakery & Grill,4.5,279,34.060126,-84.237632,30005,,"[Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Restaurant Halal', alias=u'halal')]",Alpharetta,GA
Sushi Uchi,4.5,93,33.98529085,-84.27053625,30022,,"[Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Campania,4.5,206,34.093273,-84.282498,30009,1460125260,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Bar \xe0 vins', alias=u'wine_bars')]",Alpharetta,GA
Teriyaki Grill House,4.5,33,34.06424534,-84.25165851,30005,,"[Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Wildflour,4,152,34.08732224,-84.25527954,30005,,"[Category(name=u'Sandwich', alias=u'sandwiches')]",Alpharetta,GA
Crust Pasta & Pizzeria,4,181,34.0717349,-84.297438,30009,1442205503,"[Category(name=u'Salade', alias=u'salad'), Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Restaurant Italien', alias=u'italian')]",Alpharetta,GA
Mojito Cafe,4,87,34.01935435,-84.27803278,30022,1460022639,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Restaurant Am\xe9rique latine', alias=u'latin')]",Alpharetta,GA
Bombay Flames,4,161,34.03791428,-84.29624176,30022,,"[Category(name=u'Restaurant Indien', alias=u'indpak'), Category(name=u'Buffet', alias=u'buffets')]",Alpharetta,GA
Fry Me 2 The Moon,4.5,50,34.155697,-84.245657,30004,,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Alpharetta,GA
Sushi Mania,4.5,63,34.02314758,-84.25158691,30022,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Hop Alley Brew Pub,4,192,34.0752124,-84.2945802,30009,,"[Category(name=u'Pubs', alias=u'pubs'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Brasseur', alias=u'breweries')]",Alpharetta,GA
Atlantic Seafood Company,4,191,34.037293,-84.307066,30022,1442264201,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Moctezuma Mexican Grill,4.5,33,34.09666043,-84.26042396,30004,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Mambo's Cafe,4,94,34.09642773,-84.28045592,30004,1442113759,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Restaurant P\xe9ruvien', alias=u'peruvian')]",Alpharetta,GA
Vito's Pizza & Ristorante,4.5,70,34.063839,-84.2522202,30005,1459904314,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Pizza', alias=u'pizza')]",Alpharetta,GA
di Paolo,4,59,33.98688126,-84.27336884,30022,1442264200,"[Category(name=u'Restaurant Italien', alias=u'italian')]",Alpharetta,GA
Village Tavern,3.5,184,34.06194,-84.28754,30009,1460307899,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Bar', alias=u'bars'), Category(name=u'Burger', alias=u'burgers')]",Alpharetta,GA
Eggs Up Grill,4,77,34.0789299,-84.35738373,30004,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Alpharetta,GA
Kozmo Gastro Pub,4,199,34.0722017,-84.20582034,30005,1459238709,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Burger', alias=u'burgers'), Category(name=u'Pub gastronomique', alias=u'gastropubs')]",Alpharetta,GA
Persis Biryani Indian Grill,4,32,34.0908699,-84.28913879,30009,,"[Category(name=u'Restaurant Indien', alias=u'indpak')]",Alpharetta,GA
Lottafrutta,4.5,20,34.0709041,-84.2771294,30009,,"[Category(name=u'Caf\xe9', alias=u'cafes'), Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars')]",Alpharetta,GA
Pampas Steakhouse,4,198,34.04799,-84.22509,30022,1442264163,"[Category(name=u'Restaurant Grill', alias=u'steak')]",Alpharetta,GA
Sushi Nami,4,200,34.08898,-84.27181,30004,1442264164,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Made kitchen & Cocktails,3.5,72,34.07444763,-84.296875,30009,1442230177,"[Category(name=u'Restaurant Espagnol', alias=u'spanish'), Category(name=u'Bar \xe0 tapas', alias=u'tapas')]",Alpharetta,GA
Seven Seas Mediterranean Cafe,4,71,34.06836443,-84.29926448,30009,,"[Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Sandwich', alias=u'sandwiches')]",Alpharetta,GA
Nahm Thai Cuisine,4,204,34.08869796,-84.27253023,30004,1442003848,"[Category(name=u'Tha\xef', alias=u'thai')]",Alpharetta,GA
The Varsity,3.5,26,33.752658,-84.392801,30606,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Athens,GA
Aviva by Kameel,5,572,33.75966402,-84.38759616,30303,1460112669,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars'), Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern')]",Atlanta,GA
